BPM,SpO2,GSR,Temp,Nível de Estresse
58,96,20.53,38.04,74
92,93,32.25,37.92,88
97,95,26.46,38.01,98
88,91,47.91,38.2,69
91,96,15.05,38.34,100
75,91,48.95,37.01,39
99,99,19.23,37.42,93
74,97,40.91,37.98,53
73,97,23.56,37.74,75
62,90,15.72,38.49,100
109,97,44.32,36.03,47
56,91,22.35,36.89,62
106,95,36.35,36.7,70
85,90,32.66,36.66,68
94,94,28.87,36.56,72
69,96,29.83,37.77,65
114,99,39.29,36.21,57
57,90,13.51,37.85,93
65,91,36.73,37.73,60
63,96,45.83,36.63,19
64,95,12.31,36.63,72
115,92,15.63,37.57,100
81,99,38.67,37.91,57
112,91,27.49,38.19,100
100,99,26.14,38.13,94
74,93,15.48,38.41,100
107,92,30.27,37.45,97
112,96,15.06,38.27,100
111,97,29.06,38.02,100
71,91,40.54,38.24,67
107,99,20.33,36.03,77
107,96,29.23,38.41,100
98,97,49.68,37.18,47
101,95,37.47,38.0,84
91,95,43.65,36.32,42
119,99,26.59,36.99,92
64,90,40.71,36.68,40
103,93,11.62,36.73,100
109,90,14.92,36.31,100
57,93,18.12,38.01,82
102,91,26.08,36.02,80
109,94,43.83,36.78,65
54,99,23.85,36.44,35
117,98,36.18,37.47,85
55,99,38.37,36.64,17
96,92,33.45,36.65,72
104,97,24.29,37.22,91
89,92,33.08,37.63,82
101,95,23.69,36.3,79
65,93,13.35,36.44,72
62,97,49.71,36.62,10
79,95,15.09,38.43,100
68,97,12.89,36.99,75
66,90,45.14,37.5,47
112,95,22.07,36.6,95
68,90,36.01,37.23,58
107,90,23.16,36.19,93
104,97,25.66,36.09,72
111,96,20.48,37.17,100
72,92,23.72,37.0,72
58,95,26.43,36.34,41
61,98,38.82,37.72,40
50,96,30.46,38.48,59
107,92,47.74,36.99,64
50,95,11.68,37.56,75
83,93,30.12,38.41,91
97,92,33.37,38.08,94
50,98,46.81,37.16,11
65,99,11.97,37.84,83
110,91,32.94,36.32,81
113,90,44.15,37.28,83
112,91,19.68,36.7,100
118,96,45.05,36.4,60
71,99,10.76,37.07,78
116,90,39.3,36.33,78
75,95,47.32,37.75,45
65,96,36.29,37.14,42
100,98,27.56,37.33,82
106,97,11.8,36.37,98
78,95,46.8,36.35,27
118,92,28.81,37.46,100
96,97,11.16,38.46,100
111,96,37.59,36.24,64
118,92,29.27,36.71,97
65,98,14.97,38.17,86
97,91,18.57,36.18,90
88,92,12.58,38.19,100
82,91,32.97,37.31,73
72,90,34.88,37.02,60
59,93,30.23,36.77,47
118,94,42.68,36.74,73
83,95,44.44,36.76,41
101,94,34.62,38.21,94
59,90,10.51,37.81,98
68,92,37.81,37.67,58
107,90,26.72,38.0,100
50,94,32.62,36.64,32
118,94,35.96,37.55,95
53,95,24.01,37.15,53
65,97,46.68,37.96,37
73,99,15.36,36.77,68
51,90,36.86,37.61,49
81,93,10.17,38.21,100
73,99,46.99,37.01,25
61,90,14.5,36.17,69
99,98,13.8,37.29,100
84,96,23.32,36.86,73
82,96,24.94,37.68,81
82,94,18.57,38.38,100
110,96,33.4,37.21,84
100,91,27.72,37.17,93
92,93,11.37,37.64,100
61,96,22.79,36.26,46
116,92,42.42,36.63,74
114,91,37.59,38.3,100
82,99,38.99,37.67,54
89,91,37.92,36.03,52
92,90,22.44,36.51,87
93,94,13.99,37.71,100
78,95,20.9,37.91,89
62,95,43.27,38.1,46
61,98,49.22,36.73,9
95,93,29.75,38.33,100
51,90,10.39,37.38,85
84,95,15.6,37.74,99
57,94,22.88,37.49,65
75,99,33.14,36.31,36
83,95,13.0,38.41,100
56,92,47.73,36.31,13
117,91,24.6,36.64,100
107,95,46.5,38.03,76
78,90,41.22,37.55,63
85,96,40.22,38.1,67
70,96,34.27,37.29,51
85,99,35.07,36.94,51
59,96,35.52,38.3,56
73,99,35.15,36.09,29
113,90,32.15,38.14,100
98,93,49.46,36.58,46
85,96,39.29,38.12,68
73,98,41.08,36.35,26
72,94,44.9,37.45,44
111,91,18.63,38.22,100
86,96,13.35,37.18,94
61,99,29.32,37.87,54
104,90,30.56,38.01,100
62,96,43.17,37.84,40
72,95,27.75,38.31,80
79,96,32.83,37.12,58
66,99,31.08,36.43,34
111,92,11.53,36.12,100
62,92,34.61,36.62,42
108,96,43.12,36.36,55
68,91,16.3,37.39,88
98,90,33.77,36.46,74
61,98,33.74,36.1,23
110,98,16.57,36.09,88
68,96,14.94,38.08,91
58,96,49.2,37.48,22
77,92,25.75,36.9,72
101,99,19.1,38.24,100
65,91,16.85,36.18,67
118,96,36.7,38.45,100
61,98,34.38,37.54,44
74,90,35.74,36.46,52
101,93,13.52,37.7,100
102,95,45.74,37.91,71
72,96,25.57,37.07,63
65,99,22.53,38.15,72
106,96,28.49,36.38,75
88,99,25.6,36.7,64
102,91,44.54,36.23,56
91,93,47.17,36.53,43
107,94,22.14,36.6,93
88,90,44.56,38.29,77
63,90,41.26,36.2,31
54,99,47.23,37.07,10
84,92,19.83,37.33,93
67,99,33.08,38.25,59
58,92,20.98,38.49,88
107,97,42.96,37.88,75
66,98,10.21,38.43,97
56,90,32.59,37.97,65
95,91,23.57,38.41,100
62,99,22.91,37.77,63
89,91,35.8,36.2,58
91,93,44.06,37.0,55
58,91,34.37,37.62,57
99,96,44.13,36.88,54
76,98,20.58,36.68,64
115,96,30.78,37.44,95
54,95,28.02,38.33,66
78,99,10.47,36.09,70
86,90,32.27,37.92,89
87,99,36.46,37.81,64
57,98,33.68,38.41,55
114,94,39.45,38.33,98
66,94,32.85,37.91,64
94,95,12.67,37.3,100
53,98,14.66,36.51,52
85,97,33.86,37.36,63
119,97,21.0,37.91,100
80,97,13.19,38.24,100
68,90,27.18,37.97,83
110,90,32.17,36.49,87
103,97,23.15,37.5,96
88,94,38.82,36.83,56
68,98,35.75,36.02,25
88,91,23.31,36.5,80
116,98,40.19,36.28,60
94,97,35.95,38.11,78
62,98,35.5,36.65,30
107,93,32.14,36.71,82
69,90,10.46,38.4,100
110,90,37.86,36.95,85
88,94,25.04,36.02,65
50,91,47.7,36.71,17
52,97,42.72,36.3,7
111,99,33.51,36.26,64
112,94,20.09,36.19,94
74,94,18.15,37.48,86
105,91,23.62,36.47,93
82,96,29.06,36.9,63
87,97,21.84,38.16,95
55,99,30.6,37.06,36
107,90,16.61,38.29,100
93,91,49.11,37.24,57
94,99,14.32,37.0,90
81,93,47.28,37.88,56
94,94,46.54,36.18,40
110,91,31.01,36.22,82
96,90,39.0,37.63,82
70,98,27.44,37.22,57
85,90,35.2,37.98,84
68,93,23.62,38.29,87
69,91,22.05,36.97,74
106,93,33.13,37.49,91
67,97,29.93,37.25,53
96,97,33.18,38.45,89
98,98,21.47,38.08,100
63,94,24.68,38.28,79
64,96,13.36,36.64,68
80,92,12.09,37.93,100
50,99,20.14,36.66,41
103,93,12.97,36.52,100
52,99,14.15,38.36,77
65,98,42.52,36.05,12
106,99,11.55,38.41,100
61,99,36.36,36.37,21
65,90,20.9,38.05,91
73,91,44.86,36.69,39
77,94,29.4,36.88,62
57,92,22.22,36.54,56
85,91,30.71,37.46,81
57,90,25.28,36.87,60
107,99,32.57,37.64,83
109,92,14.58,36.04,100
99,90,49.88,36.16,46
77,90,27.02,36.25,64
90,90,23.93,37.05,91
113,97,38.41,38.04,89
76,92,24.56,38.22,93
112,90,43.33,36.61,73
66,96,28.17,37.44,60
82,99,38.78,37.92,58
78,92,14.3,36.72,87
62,97,43.84,37.02,25
95,93,39.43,37.31,70
84,93,18.47,36.34,78
55,94,15.81,36.06,53
118,95,22.65,36.38,96
96,96,49.04,37.57,54
74,93,20.27,36.18,65
115,97,28.25,36.47,82
59,95,11.2,36.84,73
105,90,25.89,36.19,88
79,90,32.85,36.48,61
54,98,48.12,38.28,29
82,99,30.67,36.05,42
114,95,42.76,37.63,81
67,99,31.89,36.96,42
98,97,11.63,37.68,100
60,96,22.6,37.47,64
75,95,33.02,36.56,48
112,93,48.02,38.12,83
108,96,44.37,37.23,66
76,98,19.13,38.06,86
98,99,18.8,37.02,87
82,99,18.05,38.46,97
50,96,46.9,37.93,26
70,90,44.11,38.41,66
104,99,41.0,37.29,62
55,98,25.71,37.18,47
118,93,30.18,37.89,100
54,92,28.57,38.2,69
52,93,20.14,38.41,81
102,93,30.2,36.81,82
72,99,11.22,38.0,92
102,91,15.27,36.53,100
86,90,45.46,37.36,61
66,99,40.07,36.45,21
50,90,26.91,36.87,52
100,97,30.69,38.33,94
94,91,24.8,36.37,81
53,99,39.63,37.58,28
111,94,41.37,37.48,80
114,93,40.53,36.3,68
81,97,38.9,36.81,44
83,91,18.18,37.41,98
88,99,23.52,36.47,64
75,98,28.79,38.0,70
83,96,23.23,38.43,96
103,96,40.2,36.54,58
52,90,23.17,36.47,53
99,91,15.53,37.14,100
61,93,25.96,37.87,71
114,93,49.2,36.7,61
103,92,19.04,36.05,90
54,96,34.49,37.35,39
106,97,27.32,38.39,100
66,91,12.84,36.98,86
96,93,29.52,37.05,82
72,92,38.09,38.42,72
63,91,30.53,37.74,68
115,95,44.88,37.8,81
100,93,21.56,37.41,100
87,95,13.45,38.44,100
113,91,47.46,37.72,83
87,93,25.13,38.24,99
99,95,33.06,37.75,85
79,94,41.68,37.84,60
100,92,22.97,36.73,92
112,97,38.65,36.76,69
101,96,15.42,37.96,100
87,92,21.65,36.74,84
79,95,15.79,37.41,90
100,93,42.45,36.62,59
54,94,18.91,38.04,77
78,94,38.7,36.28,40
53,96,47.73,38.07,29
59,94,31.11,37.51,55
105,92,31.6,36.47,79
66,99,28.44,37.36,52
66,94,23.04,36.71,60
118,96,29.03,36.81,90
83,94,34.11,36.88,60
55,94,49.44,36.16,4
102,98,47.51,38.46,71
115,92,44.49,36.08,62
92,95,45.57,37.66,60
72,90,28.71,36.93,68
104,99,36.3,37.62,74
65,94,45.8,36.89,28
57,97,25.72,37.68,58
53,94,48.47,37.82,29
53,98,26.63,37.73,52
105,95,34.04,36.28,67
74,97,38.39,37.64,52
116,99,48.02,36.7,53
116,97,19.78,36.07,90
76,92,39.85,37.04,52
81,96,30.83,37.08,62
99,96,20.74,37.17,93
110,99,41.06,37.76,74
100,95,32.09,36.77,73
68,96,36.44,36.79,39
70,91,22.92,36.15,61
54,98,29.25,37.72,49
91,99,34.69,37.42,64
110,99,26.2,36.87,83
71,90,17.93,37.76,96
70,90,48.47,37.34,43
119,92,30.46,37.17,100
50,92,39.36,37.28,36
54,90,26.44,37.59,67
61,96,24.21,37.65,65
95,93,26.29,36.72,81
83,99,26.37,36.35,54
98,91,31.77,36.39,74
94,99,31.74,37.6,73
76,94,29.89,38.18,80
75,95,15.39,37.02,82
96,98,29.84,36.42,62
105,93,16.76,37.89,100
112,91,15.05,38.08,100
97,94,47.31,38.2,71
110,92,34.2,37.52,95
75,91,36.38,38.15,75
85,90,26.07,36.04,69
50,99,46.36,36.27,0
57,91,35.52,36.23,33
101,95,40.77,37.78,76
96,97,24.74,36.17,68
105,92,48.4,37.24,66
63,98,42.82,37.18,27
77,98,44.16,36.78,31
51,91,16.89,38.18,86
75,97,20.84,36.43,61
63,99,21.43,36.88,53
108,94,20.84,37.94,100
105,93,44.22,36.08,52
56,99,11.28,37.68,75
52,94,13.04,38.04,84
72,93,20.96,38.33,95
67,97,17.99,38.19,85
87,93,19.27,36.8,86
64,99,41.92,37.47,32
113,95,32.53,36.19,74
77,91,10.23,36.64,93
88,94,27.17,36.24,65
106,95,26.32,36.79,87
66,94,14.56,38.19,95
93,91,37.05,36.87,69
74,96,38.08,37.4,51
66,93,38.84,37.08,44
62,97,39.14,37.15,34
74,96,10.0,38.42,100
117,96,48.16,36.74,60
59,98,42.57,37.57,30
116,90,46.16,37.05,79
67,99,10.63,36.15,61
83,95,47.35,37.22,43
57,95,42.39,38.03,42
89,95,43.49,36.25,39
91,95,13.73,36.17,84
90,99,39.55,36.38,40
55,96,48.4,37.91,28
101,99,37.14,37.81,74
75,95,32.82,37.41,61
113,90,47.83,37.17,76
108,92,27.72,38.22,100
105,91,33.97,37.92,99
108,95,29.05,38.03,100
119,97,47.31,38.03,80
82,92,13.04,37.61,100
102,99,30.04,37.15,75
71,97,37.48,38.16,59
70,97,41.68,38.32,54
119,94,33.32,36.06,78
119,97,46.36,36.13,53
53,95,47.68,38.4,36
111,94,12.57,36.69,100
111,98,26.09,38.18,100
73,96,10.94,36.97,84
104,97,23.18,36.3,78
58,90,31.47,36.2,42
52,91,46.43,36.39,15
80,97,43.86,36.62,33
89,98,15.1,37.22,90
85,93,13.72,37.75,100
73,99,33.57,38.47,67
55,99,31.28,37.1,35
115,98,20.66,37.3,100
53,93,45.98,37.3,27
55,99,47.09,37.35,15
100,99,26.1,37.29,82
111,99,45.61,36.02,42
106,98,25.36,36.0,70
115,96,39.47,36.24,64
57,91,29.04,36.25,43
75,98,14.9,37.76,88
100,93,47.12,36.51,51
94,97,28.16,38.24,92
93,96,39.38,38.32,78
54,96,24.69,38.44,70
119,97,10.76,38.35,100
75,90,14.02,36.68,89
117,94,29.85,37.27,99
68,91,37.6,36.44,42
69,91,23.39,38.02,88
61,90,37.82,38.22,65
96,94,37.95,38.13,83
50,91,38.16,37.08,37
63,93,29.7,37.9,68
113,92,46.6,36.24,60
87,92,29.57,36.1,62
86,91,28.01,37.88,93
60,95,17.98,37.06,66
52,91,22.31,38.49,83
82,97,11.69,36.24,77
55,97,35.34,38.14,49
99,94,19.94,37.2,99
59,99,22.17,38.07,66
54,96,40.83,38.04,40
72,93,23.09,38.29,91
59,90,19.69,36.74,68
93,91,16.76,38.37,100
51,99,40.99,36.38,6
62,99,15.19,36.2,51
89,93,28.15,37.08,79
51,90,30.28,38.07,66
114,97,37.5,37.18,78
112,98,35.33,38.07,91
66,93,42.43,37.82,50
58,99,11.79,36.52,58
64,92,21.86,38.37,89
73,91,21.21,36.15,66
87,94,15.84,38.25,100
84,92,21.57,36.76,82
98,99,22.39,37.25,85
118,96,30.88,37.06,91
111,95,36.55,36.43,70
109,90,25.24,36.9,100
99,97,38.78,36.48,54
58,91,23.45,36.51,56
83,94,21.61,36.47,72
84,98,31.65,37.22,62
50,97,10.95,37.99,79
89,91,13.19,37.42,100
113,98,26.72,38.23,100
71,94,47.72,37.59,41
109,99,38.86,37.72,76
113,95,13.53,37.67,100
60,92,43.85,37.12,35
63,92,39.29,37.72,53
109,99,34.44,36.17,60
79,97,42.81,38.15,57
84,99,26.16,37.94,79
86,99,18.86,36.61,71
54,91,30.48,37.92,64
75,91,31.95,36.03,50
111,94,31.53,36.54,81
53,95,32.6,36.16,25
91,91,47.95,37.95,68
67,94,46.09,37.89,44
89,96,45.03,38.03,62
88,99,42.06,36.01,29
63,99,47.74,37.25,19
81,97,13.94,37.76,96
100,96,20.6,36.39,82
87,97,29.8,37.62,75
72,98,43.86,36.21,18
112,94,30.21,36.45,83
64,94,39.92,37.19,41
74,99,15.56,37.63,82
66,93,20.1,36.36,62
115,98,39.27,36.46,64
102,94,16.59,36.51,96
100,91,24.05,36.6,90
88,99,20.59,36.57,70
100,97,23.99,36.99,84
119,96,38.33,37.63,90
55,97,24.71,37.1,49
116,92,32.21,37.94,100
56,93,14.0,37.8,84
100,94,42.2,36.32,53
91,95,24.8,36.12,67
113,90,35.94,38.19,100
64,93,39.02,36.2,29
78,99,18.39,36.37,62
82,94,45.39,36.06,30
76,96,34.65,37.57,60
85,94,27.15,37.46,81
78,90,17.29,38.47,100
87,96,47.69,38.22,59
106,97,40.2,37.03,65
76,96,18.32,36.93,75
104,93,23.51,36.74,93
82,97,42.39,36.38,33
117,94,37.83,36.35,74
115,99,40.63,36.33,58
59,98,27.65,36.29,34
54,99,38.66,36.6,16
87,94,25.46,36.77,74
62,90,18.45,38.4,97
80,98,35.31,37.45,56
96,94,49.04,38.47,72
101,95,22.42,36.93,91
105,93,28.44,37.14,92
64,95,36.96,36.81,37
78,97,31.66,36.46,47
57,92,43.74,36.36,21
54,94,40.47,38.36,49
78,91,12.33,38.47,100
96,91,49.94,36.11,41
117,96,40.1,36.38,67
94,99,44.56,37.06,46
51,99,36.05,36.47,15
76,99,44.25,36.91,30
85,95,14.5,36.32,81
85,93,23.91,37.14,83
75,94,45.06,36.68,34
92,90,18.07,36.88,99
76,96,13.13,36.24,72
118,97,41.52,37.07,74
69,98,43.42,38.46,50
60,97,16.51,36.82,61
87,94,44.17,38.19,68
55,92,37.47,38.11,55
72,99,30.8,38.38,69
96,98,43.21,37.98,65
95,95,26.77,37.65,90
61,94,17.76,38.14,86
62,92,21.39,36.19,56
111,95,30.21,37.16,90
109,92,31.25,38.47,100
92,99,42.22,37.92,61
117,95,41.65,38.41,97
54,93,33.25,37.95,56
86,91,41.23,38.19,77
80,97,17.67,37.77,89
58,93,12.0,37.9,90
100,98,44.95,37.31,56
78,96,13.02,38.31,100
89,91,19.87,38.06,100
90,93,37.81,38.11,80
60,94,26.38,37.68,65
72,92,45.05,36.76,37
50,98,21.92,36.09,32
95,94,10.47,38.34,100
70,91,22.03,37.47,82
85,92,33.12,36.75,65
103,98,25.04,36.37,74
106,96,31.39,38.07,96
50,91,45.06,38.09,41
112,98,46.5,38.04,74
103,93,20.64,37.61,100
104,98,28.49,36.92,78
89,91,31.97,36.76,72
64,99,47.96,36.02,1
70,93,49.94,38.08,46
96,94,19.42,36.22,82
102,91,39.08,37.58,84
58,99,25.12,37.26,49
101,90,10.32,37.32,100
106,96,10.37,38.32,100
75,99,28.42,36.08,40
90,90,29.53,37.93,96
84,97,10.9,36.13,78
112,92,37.48,36.1,70
74,99,21.76,37.07,64
87,95,32.4,36.16,53
51,96,22.04,37.97,65
56,99,16.69,37.32,61
83,90,26.29,36.07,68
66,95,19.29,36.1,55
92,96,31.39,37.53,77
108,95,17.95,38.02,100
100,93,30.34,37.09,84
103,90,16.3,37.39,100
73,98,36.84,38.0,57
74,93,40.16,37.53,55
101,96,14.42,36.56,95
119,96,28.71,37.53,100
82,91,12.83,37.57,100
98,90,33.93,37.84,95
78,97,20.58,37.55,80
112,97,31.1,38.42,100
71,96,30.7,36.49,46
75,97,46.97,38.38,51
77,92,31.96,37.35,69
98,91,33.32,37.68,91
98,96,26.07,36.25,71
69,97,47.96,36.95,23
112,90,41.09,37.92,96
110,99,21.42,37.77,100
98,98,43.77,36.1,38
50,93,27.3,37.37,53
62,93,43.15,36.22,22
100,92,42.92,38.49,88
105,95,17.55,38.24,100
111,90,38.05,36.05,72
81,95,21.63,38.15,94
79,91,21.9,38.3,100
78,98,21.85,36.88,66
98,91,39.02,37.8,84
94,96,19.19,37.11,90
79,90,10.04,37.64,100
65,96,38.61,36.85,34
89,94,16.85,36.81,90
68,97,14.18,37.06,75
67,93,19.5,36.36,63
50,99,25.2,38.08,55
96,96,29.04,36.87,74
115,95,11.78,37.0,100
87,94,48.82,38.24,61
100,93,38.64,37.24,74
112,96,22.93,37.36,100
53,94,22.75,38.39,76
50,94,27.94,38.22,63
57,90,35.05,36.42,39
78,91,15.85,37.18,94
104,94,17.56,38.43,100
52,92,44.38,36.93,24
81,91,20.25,36.93,86
59,93,25.21,36.49,50
83,93,44.85,36.29,37
104,93,36.53,37.85,90
81,93,23.67,37.93,92
99,92,37.35,38.42,95
56,96,10.79,37.93,85
57,98,39.43,36.61,19
114,94,29.48,36.1,80
106,93,42.53,38.46,91
116,91,48.19,36.85,71
108,91,47.03,36.78,65
103,94,46.37,38.26,78
116,96,30.49,37.46,97
100,99,24.41,36.54,73
57,99,28.6,38.22,58
83,98,37.6,38.48,71
84,96,45.36,36.22,30
81,94,18.28,38.16,100
95,99,46.73,36.98,42
65,99,42.61,37.31,29
117,99,49.15,38.29,76
86,95,45.21,38.43,67
103,92,21.2,36.66,96
